[2025-07-03T14:00:02.904112+00:00] EMA: 42.77, StdDev: 39.27, Threshold: 93.83
[2025-07-03T15:00:04.350692+00:00] EMA: 295.39, StdDev: 297.78, Threshold: 682.50
[2025-07-03T16:00:03.666241+00:00] EMA: 422.19, StdDev: 276.84, Threshold: 782.09
[2025-07-03T17:00:03.077737+00:00] EMA: 523.60, StdDev: 44.17, Threshold: 581.02
[2025-07-03T18:00:08.354225+00:00] EMA: 559.30, StdDev: 38.28, Threshold: 609.06
[2025-07-03T19:00:08.931036+00:00] EMA: 559.65, StdDev: 32.53, Threshold: 601.94
[2025-07-03T20:00:03.269224+00:00] EMA: 586.32, StdDev: 26.95, Threshold: 621.36
[2025-07-03T21:00:05.684654+00:00] EMA: 593.16, StdDev: 28.29, Threshold: 629.94
[2025-07-03T22:00:07.080750+00:00] EMA: 608.58, StdDev: 12.66, Threshold: 625.04
[2025-07-03T23:00:07.384725+00:00] EMA: 616.79, StdDev: 14.73, Threshold: 635.94
[2025-07-04T00:00:05.473558+00:00] EMA: 499.40, StdDev: 140.01, Threshold: 681.41
[2025-07-04T01:00:06.016799+00:00] EMA: 364.95, StdDev: 199.16, Threshold: 623.86
[2025-07-04T02:00:03.637561+00:00] EMA: 236.99, StdDev: 286.04, Threshold: 608.83
[2025-07-04T03:00:03.942838+00:00] EMA: 551.49, StdDev: 217.79, Threshold: 834.61
[2025-07-04T04:00:02.817604+00:00] EMA: 592.74, StdDev: 35.22, Threshold: 638.53
[2025-07-04T05:00:03.324962+00:00] EMA: 604.37, StdDev: 10.39, Threshold: 617.88
[2025-07-04T06:00:03.707034+00:00] EMA: 451.69, StdDev: 188.43, Threshold: 696.65
[2025-07-04T07:00:03.839961+00:00] EMA: 451.69, StdDev: 188.43, Threshold: 696.65
[2025-07-04T08:00:05.176295+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T09:00:08.981211+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T10:00:11.429153+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T11:00:03.510994+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T12:00:03.439441+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T13:00:02.499823+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T14:00:04.275133+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T15:00:04.008927+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-04T16:00:02.874201+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
